35% - 3: {:des_p_types=>1, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
35% - 3: {:des_p_types=>5, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
27% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
28% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
28% - 4: {:des_p_types=>3, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
29% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
29% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
29% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
30% - 4: {:des_p_types=>3, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
30% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 4: {:des_p_types=>3, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
32% - 4: {:des_p_types=>1, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
